FrenchKey,SpanishKey,KurdishKey,EnglishKey,HindiKey,BengaliKey,MandarinKey,GreekKey
valeur_absolue,valor_absoluto,بەهای_ڕەها,abs,निरपेक्ष_मान,পরম_মান,绝对值,απόλ
tous,todo,گشت,all,सब,সব,全,όλα
quelconque,cualquier,هەر,any,कोई,যেকোনো,任何,όποια
ascii,ascii,ascii,ascii,आस्की,আস্কি,ascii码,ascii
binaire,binario,دوودوویی,bin,द्वि,বাইনারি,二进制,δυαδική
booléen,booleano,بوولیەن,bool,बूल,বুলিয়ান,布尔值,λογική
tableau_d'octets,matriz_de_bytes,ڕیزی_بایت,bytearray,बाइटरे,বাইট_অ্যারে,字节数组,πίνακας_byte
octets,bytes,بایتەکان,bytes,बाइट्स,বাইট,字节,bytes
appelable,invocable,پەیوەندی_پێوە_دەکرێت,callable,बुलाने_योग्य,কলযোগ্য,可调用的,κλητός
caractères,car,کاراکتەر,chr,अक्षर,অক্ষর,特点,χαρακτήρας
méthode_de_classe,método_de_clase,شێوازی_پۆل,classmethod,वर्ग_विधि,ক্লাস_পদ্ধতি,类方法,μέθοδος_κλάσης
compiler,compilar,کۆمپایڵ_بکە,compile,संकलन,সংগ্রহ_করা,编译,συντάσσω
complexe,complejo,ئاڵۆز,complex,समिश्र,জটিল,复杂的,μιγαδική
supprimer_l'attribut,eliminar_atributo,تایبەتمەندی_سڕینەوە,delattr,गुणमिट,বৈশিষ্ট্য_মুছে_দেয়া,删除属性,διαγρ_χαρκτ
dictionnaire,diccionario,فەرهەنگ,dict,कोश,অভিধান,字典,λεξικό
annuaire,directorio,بەڕێوەبەرایەتی,dir,निर्देशिका,নির্দেশক,目录,ευρ
opération_modulo,módulo_de_división,دابەشکردنی_مۆدیولۆس,divmod,भाग_मापांक,মডুলাস_ভাগ_করা,除模数,βάση_διαίρεσης
énumérer,enumerar,ژمارە_بکەرەوە,enumerate,गणना,গোনা,枚举,απαρίθμησε
évaluer,evaluar,هەڵسەنگاندن,eval,आंकें,মূল্যায়ন,评估,αξιολόγησε
exécuter,ejecutar,جێبەجێکردن,exec,अमल,কার্যকর_করা,执行,εκτέλεσε
filtre,filtrar,فلتەر,filter,छानें,বাছাই,筛选,φίλτρο
virgulem_flottante,punto_flotante,خاڵی_هەڵدەفڕێت,float,दश,ফ্লোট,浮点,κινητής_υποδιαστολής
format,formato,فۆرمات,format,प्रारूप,বিন্যাস,格式,μορφή
ensemble_figé,conjunto_inmutable,سێتی_بەستوو,frozenset,जमासेट,ফ্রোজেন_সেট,冷冻集,παγωμένο_σύνολο
obtenir_l'attribut,obtener_atributo,سیفەت_بەدەست_بهێنە,getattr,गुणप्राप्त,বৈশিষ্ট্য_নেয়া,获取属性,πάρε_χαρακτηριστικό
globales,globales,جیهانیەکان,globals,वैश्विक,বিশ্বব্যাপী,全局变量,καθολικές
a_un_attribut,tiene_atributo,سیفەتی_هەیە,hasattr,गुणहै,বৈশিষ্ট্য_আছে,有属性,έχει_χαρακτηριστικό
hacher,dispersión,هاش,hash,हैश,হ্যাশ,散列,κατακερματισμός
aider,ayuda,یارمەتیدان,help,मदद,সাহায্য,帮,βοήθεια
hexadécimal,hexadecimal,شەش_دەهەمی,hex,षोडश,হেক্স,十六进制,δεκαεξαδική
identité,identidad,ناسنامە,id,पहचान,পরিচয়,身份,ταυτότητα
entré,entrada,هاتنە_ژوورەوە,input,इनपुट,ইনপুট,输入,είσοδος
entier,entero,ژمارەیەکی_تەواو,int,अंक,পূর্ণসংখ্যা,整数,ακέραιη
instance,es_instancia,نموونەیە,isinstance,उदाहरण_है,উদাহরণ,是实例,είναι_παράδειγμα
est_une_sous-classe,es_subclase,ژێرپۆلە,issubclass,उपवर्ग_है,উপশ্রেণী,是子类,είναι_υποκλάση
itérateur,iterador,دووبارەکەرەوە,iter,दोहरा,পুনরাবৃত্তিকারী,迭代器,επαναλήπτης
longueur,longitud,درێژی,len,लंबाई,দৈর্ঘ্য,长度,μήκος
liste,lista,لیست,list,सूची,তালিকা,列,λίστα
locaux,locales,خەڵکی_ناوچەکە,locals,लोकल,স্থানীয়,本地,τοπική
carte,mapa,نەخشە,map,नक्शा,মানচিত্র,地图,αντιστοιχία
maximum,max,زۆرترین,max,अधिकतम,সর্বোচ্চ,最大,μέγιστο
mémoire_visuelle,vista_de_la_memoria,دیمەنی_بیرگە,memoryview,स्मृति_दर्शन,মেমরি_ভিউ,内存视图,προβολή_μνήμης
le_minimum,min,کەمترین,min,न्यूनतम,সর্বনিম্ন,最低,ελάχιστο
suivant,próximo,دواتر,next,अगला,পরবর্তী,下一个,επόμενο
chose,obj,شت,object,चीज़,বস্তু,对象,αντικείμενο
octal,octales,هەشتەمی,oct,अष्ट,অক্ট,八进制,οκταδική
ouvrir,abrir,کردنەوە,open,खोल,খোলা,打开,άνοιξε
ordinal,ordinal,ڕێزبەندی,ord,क्रम,পূরণবাচক,序数,τακτική
Puissance,elevar,هێز,pow,घात,ক্ষমতা,次方,δύναμη
imprimer,imprimir,چاپکردن,print,छापिये ,ছাপা,打印,τύπωσε
propriété,propiedad,سامان,property,संपत्ति,সম্পত্তি,财产,ιδιότητα
Portée,rango,ڕێژە,range,रेंज,পরিসীমা,范围,εύρος
représenter,representar,نوێنەرایەتی,repr,लघूरूप,চিত্রিত_করা,代表,εκπροσώπησε
renversé,invertido,پێچەوانە_کراوەتەوە,reversed,उल्टा,বিপরীত,颠倒的,αντίστροφη
rond,redondear,خول,round,गोल,বৃত্তাকার,取整,στογγυλοποίησε
ensemble,conjunto,دانان,set,सेट,সেট,集合,σύνολο
définir_l'attribut,establecer atributo,تایبەتمەندی_دانان,setattr,सेटगुण,বৈশিষ্ট্য_সেট_করা,设置属性,θέσε_χαρακτηριστικό
découper,rebanada,قاش,slice,फाँक,টুকরা,片,φέτα
trié,ordenado,ڕیزکراوە,sorted,क्रमबद्ध,সাজানো,排列,ταξινομημένη
méthode_statique,método estático,شێوازی_ئیستاتیک,staticmethod,स्थिर्विधि,স্ট্যাটিক_পদ্ধতি,静态方法,στατική_μέθοδος
string,cadena,ڕستە,str,स्ट्रिंग,স্ট্রিং,字串,συμβολοσειρά
addition,suma,کۆکردنەوە,sum,योग,সমষ্টি,求和,άθροισε
sur-ensemble,superconjunto,سوپەرسێت,super,सुपरसेट,সুপারসেট,超集,υπερσύνολο
tuple,tupla,tuple,tuple,ट्यूपल,টাপল,元组,τούπλα
taper,tipo,جۆر,type,प्रकार,প্রকার,类型,τύπος
variables,vars,گۆڕاوەکان,vars,चर,ভেরিয়েবল,变量,μεταβλητές
Zip_*:_français,cremallera,زیپ,zip,ज़िप,জিপ,压缩,σύνδεσε
capitaliser,capitalizar,سەرمایەگوزاری,capitalize,बड़ा_करें,বড়_হাতের_অক্ষর,大写,κεφαλαιοποίησε
cas_pli,minusc,تاودانی_کەیس,casefold,केस_तह,কেস_ভাঁজ,折叠,δίπλωμα_θήκης
centre,centrar,ناوەند,center,केंद्र,কেন্দ্র,中央,κέντρο
compter,contar,گێرانەوە,count,गिनें,গণনা,数,μέτρησε
encoder,codificar,کۆدکردن,encode,एन्कोड,সঙ্কেতাক্ষরে_লিখা,编码,κωδικοποίησε
terminer_par,termina_con,بە_کۆتایی_دێت,endswith,से_ख़त्म,দিয়ে_শেষ_হয়,以。。结束,τελειώνει_με
développer_les_onglets,expandir pestañas,تابەکان_فراوان_بکە,expandtabs,टैबफैल,ট্যাব_প্রসারিত_করা,展开选项卡,επέκταση_καρτελών
